price,source,sex,state,age
139,store,male,CA,17
139,store,male,CA,17
149,store,male,CA,17
129,store,male,HI,17
149,store,male,HI,17
129,store,male,CA,17
119,store,male,CA,17
159,store,male,CA,17
149,store,male,CA,17
119,store,male,CA,17
149,store,male,CA,17
139,store,male,CA,17
119,store,male,CA,17
149,store,male,CA,17
139,store,male,CA,17
149,store,male,CA,17
129,store,male,CA,17
129,store,female,AL,26
109,store,female,AL,26
149,online,female,CA,26
119,online,female,CA,26
129,online,female,CA,26
149,online,female,CA,26
149,online,female,CA,26
119,store,female,AL,23
119,store,female,AL,23
139,store,female,AL,23
129,store,female,AL,23
119,store,female,AL,23
149,store,female,AL,23
149,store,female,AL,23
149,store,female,AL,23
129,store,female,AL,23
139,store,female,WA,15
159,store,female,CA,19
139,store,female,CA,19
129,store,female,CA,19
149,store,female,CA,19
149,store,female,CA,19
129,store,male,AL,21
149,store,male,AL,21
149,store,male,AL,21
139,store,female,FL,16
119,store,female,FL,16
129,store,female,FL,16
119,store,female,FL,16
129,store,female,FL,16
149,store,female,AL,35
149,store,female,AL,35
119,store,female,AL,26
129,store,female,AL,26
159,store,female,AL,26
129,store,female,AL,26
139,store,female,AL,26
139,store,female,AL,26
129,online,female,CA,23
119,online,female,CA,23
149,online,female,CA,23
119,online,male,HI,42
139,online,male,HI,42
139,online,male,HI,42
119,online,male,HI,42
129,online,male,HI,42
119,online,male,HI,42
119,online,male,HI,42
149,online,male,HI,42
109,online,male,HI,42
129,online,male,HI,42
139,store,male,AL,17
119,store,male,AL,17
149,store,male,AL,17
139,online,male,AL,15
109,online,male,AL,15
149,online,male,AL,15
139,online,male,AL,15
139,online,male,AL,15
119,online,male,AL,15
159,online,male,AL,15
129,online,male,AL,15
139,online,male,AL,15
129,online,male,AL,15
139,online,male,AL,15
119,online,male,AL,15
139,online,male,AL,15
139,online,male,AL,15
149,store,male,FL,15
139,store,male,FL,15
149,store,male,CA,40
129,store,male,CA,40
149,store,male,CA,40
149,store,male,CA,40
109,store,male,CA,40
149,store,female,AL,49
149,store,female,AL,49
149,store,female,AL,49
119,store,female,AL,49
129,store,female,AL,49
129,store,female,HI,17
149,store,female,HI,17
129,store,female,HI,17
139,store,female,HI,17
109,store,female,HI,17
119,store,female,HI,17
119,store,female,HI,17
149,store,female,HI,17
139,store,female,HI,17
139,online,female,AL,23
129,online,female,AL,23
149,online,female,AL,23
139,store,male,AL,34
119,store,male,AL,34
149,online,female,AL,18
149,online,male,HI,42
149,online,male,HI,42
139,online,male,HI,42
139,online,male,HI,42
129,online,male,HI,42
149,online,male,HI,42
129,online,male,HI,42
119,online,male,HI,42
119,online,male,HI,42
139,store,female,AL,34
109,store,female,AL,34
139,store,female,AL,34
149,store,male,AL,16
129,store,male,AL,16
129,store,male,AL,16
159,store,male,AL,16
119,online,male,AL,18
129,online,male,AL,18
149,online,male,AL,18
129,online,male,AL,18
149,online,male,AL,18
109,online,male,AL,18
129,online,male,AL,18
139,store,female,IA,17
149,store,female,IA,17
119,store,female,IA,17
139,store,female,IA,17
129,store,female,IA,17
139,store,female,IA,17
139,store,female,IA,17
149,store,female,IA,17
139,store,female,IA,17
119,store,female,IA,17
119,online,female,IA,40
139,online,female,IA,40
149,online,female,IA,40
119,online,female,IA,40
139,online,female,IA,40
129,store,male,IA,32
129,store,male,IA,32
119,store,male,IA,32
139,store,male,IA,32
149,online,female,CA,16
119,online,female,CA,16
129,online,female,CA,16
139,online,female,CA,16
119,online,female,CA,16
119,online,female,CA,16
119,online,female,CA,16
149,online,female,CA,16
129,online,female,CA,16
129,online,female,AL,16
139,online,female,AL,16
129,online,female,AL,16
109,online,female,AL,16
129,online,female,AL,16
139,online,female,AL,16
119,store,female,HI,16
129,store,female,HI,16
139,store,female,HI,16
159,store,female,HI,16
119,store,female,CA,18
119,store,female,CA,18
149,store,female,CA,18
139,store,female,CA,18
109,store,female,CA,18
109,store,female,CA,18
129,store,female,CA,18
119,store,female,CA,18
149,store,female,CA,18
139,store,female,CA,18
119,store,female,CA,18
139,store,female,CA,18
119,store,female,CA,18
129,online,male,AL,25
159,store,male,AL,19
119,store,male,AL,19
119,store,male,AL,19
129,store,male,AL,19
149,online,male,AL,32
159,online,male,AL,32
119,online,female,AL,30
149,store,male,FL,15
149,store,male,FL,15
139,online,female,FL,17
139,online,female,FL,17
129,online,female,FL,17
129,online,female,FL,17
129,online,female,FL,17
139,online,female,FL,17
149,online,male,CA,34
129,online,male,CA,34
119,online,male,CA,34
129,online,male,CA,34
159,online,male,CA,34
139,online,male,CA,34
119,online,male,CA,34
119,online,male,HI,19
139,online,male,HI,19
119,online,male,HI,19
139,online,male,AL,25
159,online,male,AL,25
109,online,male,AL,25
129,online,male,AL,25
129,online,male,AL,25
129,online,male,AL,25
109,online,female,AL,20
129,store,male,CA,30
119,store,male,CA,30
129,store,male,CA,30
139,store,male,CA,30
129,store,male,CA,30
159,store,male,CA,30
129,store,male,CA,30
149,store,male,CA,30
159,store,male,CA,30
119,store,male,CA,30
159,online,male,AL,16
119,online,male,AL,16
119,online,male,AL,16
129,online,male,AL,16
139,online,male,AL,16
159,online,male,AL,16
139,online,female,AL,17
149,online,female,AL,17
119,online,female,AL,17
149,online,female,AL,17
119,online,female,AL,17
139,online,female,AL,22
119,online,female,AL,22
139,online,female,AL,22
139,online,female,AL,22
129,online,female,AL,22
129,online,female,AL,22
129,online,female,AL,22
149,online,female,AL,22
139,online,female,AL,22
139,online,female,AL,22
119,store,male,IA,21
119,store,male,IA,21
119,store,male,IA,21
139,store,male,IA,21
129,store,male,IA,21
119,store,male,IA,21
159,online,male,AL,50
149,online,male,AL,50
129,online,male,AL,50
119,online,male,AL,50
139,store,female,AL,19
109,store,male,FL,26
139,store,female,CA,37
129,store,female,CA,37
139,store,female,CA,37
129,store,female,CA,37
129,store,female,CA,37
129,store,female,CA,37
119,store,female,CA,37
129,store,female,CA,37
129,store,female,CA,37
119,store,male,WA,15
139,store,male,WA,15
139,store,male,WA,15
149,store,male,WA,15
129,store,male,WA,15
149,store,female,HI,21
109,store,female,HI,21
149,store,female,HI,21
139,store,female,HI,21
159,store,female,HI,21
159,store,male,WA,20
129,store,male,WA,20
149,store,male,WA,20
159,store,male,WA,20
129,store,male,WA,20
139,store,male,WA,20
149,store,male,WA,20
129,store,male,WA,20
119,store,male,WA,20
149,store,female,CA,30
149,store,female,CA,30
139,store,female,CA,30
149,online,female,FL,16
139,online,female,FL,16
119,online,female,FL,16
129,online,female,FL,16
139,online,female,FL,16
129,online,female,FL,16
139,online,female,FL,16
139,online,female,FL,16
119,online,male,FL,23
149,online,male,FL,23
119,online,male,FL,23
149,online,male,HI,16
139,store,female,AL,18
139,store,female,WA,18
149,store,female,WA,18
109,online,male,AL,21
119,online,male,AL,21
129,online,male,AL,21
149,online,male,AL,21
139,online,male,AL,21
139,store,female,CA,26
129,store,female,CA,26
139,store,female,CA,26
139,store,female,CA,26
159,store,female,CA,26
129,store,female,CA,24
139,store,female,CA,24
129,store,female,CA,24
149,store,female,CA,24
129,store,female,CA,24
149,store,female,CA,24
149,store,female,AL,16
129,store,female,AL,16
149,store,female,AL,16
119,store,female,AL,16
119,store,female,AL,16
119,store,female,AL,16
129,store,female,AL,16
139,store,female,AL,16
139,store,female,AL,31
139,store,female,AL,31
149,store,female,AL,31
139,store,female,AL,31
109,store,male,CA,18
139,store,male,CA,18
139,store,male,CA,18
109,store,male,CA,18
129,store,male,CA,18
119,store,male,CA,18
139,store,male,CA,18
159,store,male,CA,18
139,store,male,CA,18
109,store,male,CA,18
119,store,male,CA,18
139,store,male,CA,18
139,online,male,AL,15
119,online,male,AL,15
129,online,male,AL,15
149,online,male,AL,15
129,online,male,AL,15
129,online,male,AL,15
129,online,male,AL,15
139,online,female,AL,42
119,online,female,AL,42
119,store,female,CA,20
119,store,female,CA,20
129,store,female,CA,20
119,store,female,CA,20
129,store,female,CA,20
139,store,female,CA,20
119,store,male,CA,16
159,store,male,CA,16
139,store,male,CA,16
129,online,male,AL,22
119,online,male,AL,22
139,online,male,AL,22
139,online,male,AL,22
119,online,male,AL,22
149,online,male,AL,22
139,online,male,AL,22
139,online,male,AL,22
139,online,male,AL,22
129,online,male,AL,22
129,online,female,AL,17
139,online,female,AL,17
139,online,female,AL,17
129,online,female,AL,17
149,online,female,AL,17
139,online,female,AL,17
129,online,female,AL,17
139,online,female,AL,17
149,online,female,AL,17
149,online,female,AL,17
139,online,female,AL,17
129,store,female,AL,15
139,online,male,AL,22
139,online,male,AL,22
119,online,male,AL,22
119,online,male,AL,22
129,online,male,AL,22
119,online,male,AL,22
149,online,male,AL,22
149,online,male,AL,22
119,online,male,AL,22
129,store,male,FL,31
129,store,male,FL,31
139,store,male,FL,31
149,online,male,AL,21
149,online,male,AL,21
149,online,male,AL,21
129,online,male,AL,21
119,store,male,CA,18
129,store,male,CA,18
119,online,female,CA,28
129,online,female,CA,28
149,online,female,CA,28
119,online,female,CA,28
139,online,female,CA,28
139,online,female,CA,28
119,online,female,CA,17
119,online,male,FL,25
139,online,male,FL,25
159,online,male,FL,25
119,online,male,FL,25
139,online,male,FL,25
159,store,male,AL,15
119,store,male,AL,15
119,store,male,AL,15
149,store,male,AL,15
129,store,male,AL,15
139,store,male,AL,15
139,store,male,AL,15
139,store,male,AL,42
129,store,male,AL,42
149,store,male,AL,42
129,store,male,AL,42
149,store,male,AL,42
159,store,male,AL,42
119,store,male,AL,42
109,store,male,AL,42
129,store,male,AL,42
119,store,male,AL,42
119,store,female,FL,21
139,store,female,FL,21
129,store,female,FL,21
139,store,female,FL,21
129,store,female,FL,21
139,online,male,AL,21
139,online,male,AL,21
139,store,female,AL,16
129,store,female,AL,16
139,store,female,AL,16
149,store,female,AL,16
119,store,female,AL,16
149,store,female,AL,16
129,online,female,AL,21
109,online,female,AL,35
149,online,female,AL,35
119,online,female,AL,35
139,store,female,AL,20
129,store,female,AL,20
139,store,female,AL,20
119,store,female,AL,20
129,store,female,AL,20
109,store,female,AL,20
129,store,female,AL,20
139,store,female,HI,26
119,store,female,HI,26
129,store,female,HI,26
139,store,female,HI,26
129,store,female,IA,17
129,store,female,IA,17
139,store,female,IA,17
139,store,female,IA,17
139,online,male,CA,23
149,online,male,CA,23
129,online,male,CA,23
149,online,male,CA,23
149,online,male,CA,17
119,online,male,CA,17
139,online,male,CA,17
139,online,male,CA,17
149,online,male,CA,17
139,online,male,CA,17
139,online,male,CA,17
149,store,female,AL,25
159,store,female,AL,16
149,store,female,AL,16
139,online,male,CA,66
119,online,male,CA,66
119,online,male,CA,66
149,online,male,CA,66
109,online,male,CA,66
159,online,male,CA,66
119,online,male,CA,66
139,store,male,AL,20
129,store,male,AL,20
149,store,female,AL,19
119,store,female,AL,19
149,store,female,AL,19
129,store,female,AL,19
149,store,female,AL,19
129,store,female,AL,19
139,store,female,AL,19
129,store,female,AL,19
139,store,female,AL,19
149,store,male,AL,17
